ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
5005695,HM614514,09/15/2006 02:30:00 PM,069XX S WASHTENAW AVE,0560,ASSAULT,SIMPLE,"SCHOOL, PUBLIC, BUILDING",false,false,0831,008,18,66,08A,,,2006,02/04/2016 06:33:39 AM,,,
6238513,HP324458,05/08/2008 03:10:00 PM,047XX W NORTH AVE,0820,THEFT,$500 AND UNDER,PARKING LOT/GARAGE(NON.RESID.),false,false,2533,025,37,25,06,1144333,1910210,2008,02/04/2016 06:33:39 AM,41.909635874,-87.745219906,"(41.909635874, -87.745219906)"
3180920,HK186672,02/12/2004 04:00:00 PM,014XX W BRYN MAWR AVE,0810,THEFT,OVER $500,APARTMENT,false,false,2013,020,48,77,06,,,2004,02/04/2016 06:33:39 AM,,,
2293945,HH565049,08/07/2002 08:12:41 PM,047XX S CICERO AVE,1506,PROSTITUTION,SOLICIT ON PUBLIC WAY,STREET,true,false,0814,008,23,56,16,,,2002,02/04/2016 06:33:39 AM,,,
9361312,HW504341,10/23/2013 01:00:00 PM,032XX W ADAMS ST,0460,BATTERY,SIMPLE,"SCHOOL, PUBLIC, BUILDING",false,false,1124,011,28,27,08B,1154752,1898890,2013,02/04/2016 06:33:39 AM,41.878370307,-87.707248137,"(41.878370307, -87.707248137)"
6485709,HP562136,09/09/2008 04:45:00 PM,064XX S MEADE AVE,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,false,true,0812,008,13,64,26,1136868,1861045,2008,02/04/2016 06:33:39 AM,41.774856793,-87.773820162,"(41.774856793, -87.773820162)"
7963678,HT192778,03/07/2011 06:20:00 PM,078XX S CALUMET AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,true,0623,006,6,69,14,1179830,1853174,2011,02/04/2016 06:33:39 AM,41.752382968,-87.616568091,"(41.752382968, -87.616568091)"
4450147,HL746861,11/20/2005 08:50:00 PM,037XX W 68TH ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,false,true,0833,008,13,65,08B,,,2005,02/04/2016 06:33:39 AM,,,
9707983,HX357502,07/23/2014 06:50:00 PM,055XX W NORTH AVE,0820,THEFT,$500 AND UNDER,SIDEWALK,false,true,2532,025,37,25,06,1139118,1910086,2014,02/04/2016 06:33:39 AM,41.909392126,-87.764380883,"(41.909392126, -87.764380883)"
8660659,HV335627,06/15/2012 08:35:00 AM,068XX S LOOMIS BLVD,0820,THEFT,$500 AND UNDER,SIDEWALK,false,false,0724,007,17,67,06,1168179,1859299,2012,02/04/2016 06:33:39 AM,41.769449202,-87.659088027,"(41.769449202, -87.659088027)"
